idn,author,gnd_modified
953368068,"Plowman, Andrew",(DE-588)120082500
952190788,"Kunth, Peter",(DE-588)115862552
952313413,"Berman, Paul",(DE-588)136656781
948616261,"Siemons, Hans",(DE-588)115421289
951540645,"Delius, Friedrich Christian",(DE-588)118924389
950566497,"Bude, Heinz",(DE-588)122461029
951315463,"Czubayko, Astrid",(DE-588)1158107102
951505068,"Rouaud, Jean",(DE-588)115686983
95214395X,"Katz, Casimir",(DE-588)133085333
952167239,"Elhardt, Rudolf",(DE-588)114175209
950183490,"Clifford, Nicholas R.",unknown
947510354,"Wabl, Matthias",unknown
946396396,"Juchler, Ingo",(DE-588)112787061
946755590,"Lodge, David",(DE-588)118915185
947468757,"Huang, Jianli",(DE-588)1158312598
931725925,"Negt, Oskar",(DE-588)11858684X
942887727,"Bude, Heinz",(DE-588)122461029
946608563,"Bude, Heinz",(DE-588)122461029
951063545,"Asmus, Helmut",(DE-588)132783630
946198977,"Vesper, Bernward",(DE-588)118626728
953427102,"Konsalik, Heinz G.",(DE-588)11856515X
943733251,"Lodge, David",(DE-588)118915185
944042066,"Lodge, David",(DE-588)118915185
1191644162,"Bruder-Bezzel, Almuth",unknown
943164303,"Clifford, Nicholas R.",unknown
942908511,"Konsalik, Heinz G.",(DE-588)11856515X
945872313,"Konsalik, Heinz G.",(DE-588)11856515X
940532174,"Temcheltu, Sibchod",unknown
940148080,"Briegleb, Klaus",(DE-588)118515314
931602866,"Kozicki, Norbert",(DE-588)112302726
931896355,"Konsalik, Heinz G.",(DE-588)11856515X
944352243,"Bell, William",(DE-588)123218985
931226473,"Kim, Jae-Kyung",(DE-588)172535190
953434206,"Konsalik, Heinz G.",(DE-588)11856515X
941575748,"Hübsch, Hadayatullah",(DE-588)119057255
930244451,"Schmidt, Ulrich",unknown
920811345,"Schwiers, Gisela",unknown
930073231,"Konsalik, Heinz G.",(DE-588)11856515X
921294778,"Renz, Andreas",unknown
920103715,"Hubert, Martin",unknown
920693156,"Zoitl, Helge",unknown
911426426,"Müller, Lothar",unknown
1019673362,"Voigt, Lothar",unknown
910613117,"Voigt, Lothar",unknown
920055737,"Konsalik, Heinz G.",(DE-588)11856515X
920199291,"Konsalik, Heinz G.",(DE-588)11856515X
910711658,"Waldmann, Sabine",unknown
921089546,"Dutschke, Rudi",(DE-588)118528327
930880544,"Sakson, Andrzej",(DE-588)103516271
901379670,"Hildebrandt, Dietrich",(DE-588)107693577X
920059147,"Baumann, Michael",(DE-588)118507516
900835818,"Prinz, Alois",(DE-588)115760318
910207836,"Burisch, Wolfram",(DE-588)121520609
1198109599,"Herrmann, Hans Peter",(DE-588)12180741X
890937362,"Horx, Matthias",(DE-588)120530716
890897689,"Juchler, Ingo",(DE-588)112787061
1191572102,"Lipp, Wolfgang",unknown
1298594111,"Herrmann-Pillath, Carsten",(DE-588)120965275
891567054,"Herrmann-Pillath, Carsten",(DE-588)120965275
900149035,"Willerding, Hans-Joachim",unknown
890014191,"Mohr, Reinhard",(DE-588)124940056
890697507,"Talarczyk, Andrzej",unknown
880659068,"Bieling, Rainer",(DE-588)1217620273
881473855,"Pevny, Wilhelm",(DE-588)108109941
881105554,"Mosler, Peter",(DE-588)137073682
880248777,"Brandes, Volkhard",(DE-588)118832905
900074825,"Gottstein, Norbert",unknown
870669583,"Schwarz, Peter",unknown
