idn,author,Geburtsdatum,Sterbedatum,Geburtsort,Sterbeort,Beruf oder Beschäftigung,gnd_modified
986631140,"Ruetz, Michael",1940,,Berlin,,Fotograf; Autor; Bildjournalist,118816330
987716646,"Timm, Uwe",1940-03-30,,Hamburg,,Schriftsteller; Lyriker; Drehbuchautor,118839276
991891899,"Timm, Uwe",1940-03-30,,Hamburg,,Schriftsteller; Lyriker; Drehbuchautor,118839276
986666092,"Nix, Christoph",1954-10-26,,Ehringshausen,,Jurist; Theaterintendant; Hochschullehrer; Librettist,129341568
986280321,"Schneider, Peter",1940-04-21,,Lübeck,,Schriftsteller; Drehbuchautor; Dozent; Schriftsteller,118758675
988384779,"Strehle, Res",1951,,Zürich,,Chefredakteur; Journalist,170370836
987356119,"Spernol, Boris",1972,,Gladbeck,,Historiker,1033803804
986653314,"Aly, Götz",1947-05-03,,Heidelberg,,Historiker; Politologe; Journalist; Hochschullehrer,115766065
1191660060,"Teune, Simon",1976,,Hagen,,Soziologe,unknown
982916728,"Hoevels, Fritz Erik",1948,,Frankfurt am Main,,Psychoanalytiker,unknown
984294864,"Fichter, Tilman",1937,,Berlin,,Politologe,12200048X
1192023412,"Kern, Thomas",1968,,Friedrichshafen,,Soziologe; Wirtschaftswissenschaftler; Politologe; Dozent,130432628
973575026,"Kailitz, Susanne",1977,,Karl-Marx-Stadt,,Journalistin,unknown
983610231,"Baumann, Michael",1948-08-25,2016-07-19,Berlin,Berlin,Schriftsteller; Publizist; Schauspieler,118507516
1103501321,"Maaser, Michael",1964,,Hanau,,Historiker,111419727
979058252,"Bolius, Uwe",1940-08-06,2014-08-23,Linz,Wien,Schriftsteller; Regisseur,118096133
977217175,"Seyfried, Gerhard",1948,,München,,Künstler; Comiczeichner; Autor,115834168
981669816,"Seidl, Florian",1893-04-30,1972-12-06,Regensburg,Rosenheim,Schriftsteller,119061252
976752034,"Leeuwen, Joke van",1952-09-24,,Den Haag,,Schriftstellerin; Bilderbuchautorin; Illustratorin,11946182X
981281915,"Eidam, Gerd",1941,,Ehringshausen,,Jurist; Schriftsteller; Rechtsanwalt,120466821
993625975,"Elhardt, Rudolf",1947,,Grünwald (München),,Lehrer; Politiker; Sachbuchautor,114175209
971329133,"Busche, Jürgen",1944-10-09,2024-06-29,Bad Belzig,Berlin,Chefredakteur; Germanist,12000478X
989538516,"Gilcher-Holtey, Ingrid",1952-11-13,,Witten,,Historikerin; Hochschullehrerin,11100618X
973121505,"Kraushaar, Wolfgang",1948,,Niederurff,,Politologe; Soziologe; Historiker; Hochschullehrer; Publizist; Lektor <Verlag>,120283344
974317403,"Vesper, Bernward",1938-08-01,1971-05-15,Frankfurt (Oder),Hamburg,Schriftsteller; Verleger; Übersetzer,118626728
1197536507,"Herrmann, Hans Peter",1929-04-21,,Weimar,,Philologe,12180741X
1204825955,"Herrmann, Hans Peter",1929-04-21,,Weimar,,Philologe,12180741X
973195568,"Kuhn, Axel",1943,,Gelsenkirchen,,Historiker; Schriftsteller,121212831
97341667X,"Schneider, Peter",1940-04-21,,Lübeck,,Schriftsteller; Drehbuchautor; Dozent; Schriftsteller,118758675
